Name,Platform,DOIs,Citations,License,Categories
RaceID,R/C++,"10.1016/j.stem.2016.05.010, 10.1038/nature14966, 10.1038/s41592-019-0632-3, 10.1101/2022.08.04.502776, 10.1186/s13059-023-02974-1",1535,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Imputation, Integration, Marker Genes, Ordering, Rare Cells, Stem Cells, Visualisation"
DoubletFinder,R,"10.1016/j.cels.2019.03.003, 10.1101/352484",1510,CC0-1.0,"Clustering, Dimensionality Reduction, Quality Control"
batchelor,R,"10.1038/nbt.4091, 10.1101/165118",1506,GPL-3.0,Integration
slingshot,R,"10.1101/128843, 10.1186/s12864-018-4772-0",1457,Artistic-2.0,"Dimensionality Reduction, Ordering, Visualisation"
scVelo,Python,"10.1038/s41587-020-0591-3, 10.1101/820936",1439,BSD-3-Clause,"Gene Filtering, Normalisation, Ordering, Visualisation"
SCDE,R,"10.1038/nmeth.2967, 10.1038/nmeth.3734, 10.1101/026948",1410,'-,"Differential Expression, Gene Sets, Visualisation"
MiXCR,Java/Kotlin,"10.1038/nbt.3979, 10.1038/nmeth.3364",1365,Custom,"Alignment, Allele Specific, Assembly, Clustering, Immune, UMIs"
UMI-tools,Python,"10.1101/051755, 10.1101/gr.209601.116",1242,MIT,"Quantification, UMIs"
Scrublet,Python,"10.1016/j.cels.2018.11.005, 10.1101/357368",1207,MIT,"Quality Control"
Scater,R,"10.1093/bioinformatics/btw777, 10.1101/069633",1205,GPL-3.0,"Dimensionality Reduction, Quality Control, Visualisation"
scuttle,R/C++,"10.1093/bioinformatics/btw777, 10.1101/069633",1205,GPL-3.0,"Normalisation, Quality Control"
MAGIC,Python/R/MATLAB,"10.1016/j.cell.2018.05.061, 10.1101/111591",1142,GPL-2.0,"Dimensionality Reduction, Imputation, Interactive, Quality Control, Visualisation"
SC3,R,"10.1038/nmeth.4236, 10.1101/036558",1127,GPL-3.0,"Clustering, Interactive"
MIMOSCA,Python,10.1016/j.cell.2016.11.038,1083,MIT,"Classification, Integration, Perturbations"
dynverse,R,"10.1038/s41587-019-0071-9, 10.1101/276907",1033,GPL-3.0,"Normalisation, Ordering, Simulation, Visualisation"
bseqsc,R,10.1016/j.cels.2016.08.011,1005,GPL-2.0-or-later,"Differential Expression, Integration, Visualisation"
scLVM,R/Python,10.1038/nbt.3102,987,Apache-2.0,"Cell Cycle, Normalisation, Variable Genes, Visualisation"
DPT,R/MATLAB,"10.1038/nmeth.3971, 10.1101/041384",947,GPL-3.0,"Expression Patterns, Ordering, Visualisation"
MOFA,R/Python,"10.1101/217554, 10.1101/837104, 10.1186/s13059-020-02015-1, 10.15252/msb.20178124",945,LGPL-3.0,"Dimensionality Reduction, Integration, Visualisation"
LIGER,R/C++,"10.1016/j.cell.2019.05.006, 10.1038/s41467-022-28431-4, 10.1038/s41596-020-0391-8, 10.1101/2020.04.07.029546, 10.1101/2021.04.09.439160, 10.1101/459891",931,GPL-3.0,"Dimensionality Reduction, Integration, Marker Genes, Normalisation, Variable Genes, Visualisation"
SPADE,R,"10.1038/nbt.1991, 10.1038/nprot.2016.066",898,GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Marker Genes, Ordering, Visualisation"
nichenetr,R,10.1038/s41592-019-0667-5,837,GPL-3.0,"Gene Networks, Visualisation"
scMCA,R,10.1016/j.cell.2018.02.001,793,GPL-3.0,"Classification, Visualisation"
RCA,R,10.1038/ng.3818,770,MIT,"Clustering, Visualisation"
DropletUtils,R,"10.1038/s41467-018-05083-x, 10.1101/177048, 10.1101/234872, 10.1186/s13059-019-1662-y",760,GPL-3.0,"Quality Control, Simulation, UMIs"
demuxlet,C++,"10.1038/nbt.4042, 10.1101/118778",719,Apache-2.0,"Quality Control, UMIs, Variants"
ZINB-WaVE,R,"10.1038/s41467-017-02554-5, 10.1101/125112, 10.1101/157982, 10.1101/250126, 10.1186/s13059-018-1406-4",676,'-,"Dimensionality Reduction, Normalisation, Simulation"
STEMNET,R,10.1038/ncb3493,660,GPL-3.0,"Ordering, Visualisation"
SIMLR,R/MATLAB/Python/C++,"10.1002/pmic.201700232, 10.1038/nmeth.4207, 10.1101/052225, 10.1101/118901",620,GPL-3.0,"Clustering, Dimensionality Reduction, Visualisation"
DCA,Python,"10.1038/s41467-018-07931-2, 10.1101/300681",604,Apache-2.0,Imputation
Splatter,R,"10.1101/133173, 10.1101/2021.06.17.448806, 10.1186/s13059-017-1305-0, 10.1186/s13059-021-02546-1",588,GPL-3.0,"Simulation, Visualisation"
SoupX,R,"10.1093/gigascience/giaa151, 10.1101/303727",582,GPL-2.0,"Quantification, Visualisation"
URD,R,10.1126/science.aar3131,572,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Marker Genes, Normalisation, Ordering, Variable Genes, Visualisation"
PHATE,Python/MATLAB/R,"10.1038/s41587-019-0336-3, 10.1101/120378",571,GPL-2.0,"Dimensionality Reduction, Visualisation"
SCope,Python,"10.1016/j.cell.2018.05.057, 10.1101/237420",561,GPL-3.0,"Clustering, Gene Sets, Interactive, Visualisation"
scumi,Python/R,"10.1038/s41587-020-0465-8, 10.1101/632216",555,'-,"Alignment, Quantification, UMIs"
scanorama,Python,"10.1038/s41587-019-0113-3, 10.1101/371179",539,MIT,Integration
SAVER,R,"10.1038/s41592-018-0033-z, 10.1101/138677",530,GPL-2.0,Imputation
ZIFA,Python,10.1186/s13059-015-0805-z,520,MIT,"Dimensionality Reduction"
scmap,R,"10.1038/nmeth.4644, 10.1101/150292",513,GPL-3.0,Classification
scMC,R,10.1186/s13059-020-02238-2,509,GPL-3.0,"Clustering, Integration, Marker Genes, Visualisation"
Cellity,R,10.1186/s13059-016-0888-1,507,GPL-2.0-or-later,"Quality Control"
Wishbone,Python,10.1038/nbt.3569,506,GPL-2.0,"Expression Patterns, Interactive, Ordering, Visualisation"
bbknn,Python,"10.1093/bioinformatics/btz625, 10.1101/397042",497,MIT,"Integration, Visualisation"
destiny,R,"10.1093/bioinformatics/btv715, 10.1101/023309",482,GPL-1.0,"Dimensionality Reduction, Visualisation"
AltAnalyze,Python,"10.1038/nature19348, 10.1093/nar/gkz789, 10.1101/412080",468,Apache-2.0,"Alternative Splicing, Cell Cycle, Classification, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Interactive, Marker Genes, Normalisation, Quantification, Visualisation"
umis,Python,"10.1038/nmeth.4220, 10.1101/073692",464,MIT,"Quantification, UMIs"
SNN-Cliq,MATLAB/Python,10.1093/bioinformatics/btv088,457,'-,Clustering
MuSiC,R,"10.1038/s41467-018-08023-x, 10.1101/354944",456,GPL-3.0,"Integration, Simulation, Visualisation"
TSCAN,R,10.1093/nar/gkw430,451,GPL-2.0-or-later,"Clustering, Interactive, Marker Genes, Ordering, Visualisation"
scIB,Python,"10.1038/s41592-021-01336-8, 10.1101/2020.05.22.111161",441,MIT,Integration
dandelion,Python,"10.1038/s41587-023-01734-7, 10.1038/s41591-021-01329-2, 10.1101/2021.01.13.21249725, 10.1101/2022.11.18.517068",440,AGPL-3.0,"Immune, Visualisation"
scImpute,R,"10.1038/s41467-018-03405-7, 10.1101/141598",434,GPL-1.0,Imputation
bustools,C++,"10.1038/s41587-021-00870-2, 10.1093/bioinformatics/btz279, 10.1101/2023.11.21.568164, 10.1101/472571, 10.1101/673285",422,BSD-2-Clause,"Quantification, UMIs"
wot,Python/Java,"10.1016/j.cell.2019.01.006, 10.1101/191056",399,BSD-3-Clause,"Ordering, Visualisation"
BASiCS,R,"10.1016/j.cels.2018.06.011, 10.1101/035949, 10.1101/237214, 10.1186/s13059-016-0930-3, 10.12688/f1000research.74416.1, 10.1371/journal.pcbi.1004333",396,GPL-2.0-or-later,"Differential Expression, Normalisation, Simulation, Variable Genes"
BEELINE,Python/Docker,"10.1038/s41592-019-0690-6, 10.1101/642926",394,GPL-3.0,"Gene Networks"
CIDR,R,"10.1101/068775, 10.1186/s13059-017-1188-0",391,GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Imputation, Simulation"
NetworkInference,Julia,"10.1016/j.cels.2017.08.014, 10.1101/082099",387,MIT,"Gene Networks"
txburst,Python,10.1038/s41586-018-0836-1,376,'-,"Allele Specific"
Palantir,Python,"10.1038/s41587-019-0068-4, 10.1101/385328",374,GPL-2.0,"Dimensionality Reduction, Expression Patterns, Normalisation, Ordering, Quality Control, Visualisation"
cell2location,Python,"10.1038/s41587-021-01139-4, 10.1101/2020.11.15.378125",362,Apache-2.0,"Classification, Integration"
TraCeR,Python,10.1038/nmeth.3800,361,Apache-2.0,"Alignment, Assembly, Immune, Quantification, Visualisation"
celltalker,R,10.1016/j.immuni.2019.11.014,359,MIT,"Gene Networks, Visualisation"
dragonsc,R,10.1016/j.immuni.2019.11.014,359,CC0-1.0,Clustering
singleseqgset,R,10.1016/j.immuni.2019.11.014,359,CC0-1.0,"Gene Sets"
DistMap,R,"10.1101/117382, 10.1126/science.aan3235",339,MIT,"Classification, Visualisation"
MOFA2,R/Python,"10.1101/837104, 10.1186/s13059-020-02015-1",331,LGPL-3.0,"Clustering, Dimensionality Reduction, Imputation, Integration, Visualisation"
VisCello,R,"10.1101/565549, 10.1126/science.aax1971",320,GPL-2.0,"Dimensionality Reduction, Interactive, Visualisation"
WaveCrest,R,10.1186/s13059-016-1033-x,319,Apache-2.0,"Expression Patterns, Interactive, Marker Genes, Ordering"
Garnett,R,"10.1038/s41592-019-0535-3, 10.1101/538652",318,MIT,"Classification, Marker Genes, Visualisation"
matchSCore2,R,"10.1038/s41587-020-0469-4, 10.1101/630087",311,'-,"Classification, Integration, Visualisation"
Libra,R,"10.1038/s41467-021-25960-2, 10.1101/2021.03.12.435024",308,MIT,"Differential Expression"
SINCERA,R,"10.1007/978-1-4939-7710-9_15, 10.1371/journal.pcbi.1004575",299,GPL-3.0,"Clustering, Differential Expression, Gene Filtering, Marker Genes, Normalisation, Quality Control"
CellRank,Python,"10.1038/s41592-021-01346-6, 10.1101/2020.10.19.345983, 10.1101/2023.07.19.549685",293,BSD-3-Clause,"Ordering, Visualisation"
GLM-PCA,R,"10.1101/574574, 10.1186/s13059-019-1861-6",291,LGPL-3.0,"Dimensionality Reduction"
kBET,R,"10.1038/s41592-018-0254-1, 10.1101/200345",279,Apache-2.0,Integration
scGen,Python,"10.1038/s41592-019-0494-8, 10.1101/478503",277,GPL-3.0,"Differential Expression, Integration, Perturbations"
Tangram,Python,"10.1038/s41592-021-01264-7, 10.1101/2020.08.29.272831",277,BSD-3-Clause,"Integration, Visualisation"
CellBench,R,"10.1038/s41592-019-0425-8, 10.1093/bioinformatics/btz889, 10.1101/433102",270,GPL-3.0,Visualisation
scArches,Python,"10.1038/s41556-022-01072-x, 10.1038/s41587-021-01001-7, 10.1038/s41592-023-02035-2, 10.1101/2020.07.16.205997, 10.1101/2022.02.05.479217, 10.1101/2022.11.28.517803",270,BSD-3-Clause,Integration
CopyKAT,R,10.1038/s41587-020-00795-2,269,GPL-2.0,Variants
zUMIs,Shell,"10.1093/gigascience/giy059, 10.1101/153940",261,GPL-3.0,"Alignment, Quantification, UMIs, Visualisation"
scPred,R,"10.1101/369538, 10.1186/s13059-019-1862-5",254,MIT,"Classification, Dimensionality Reduction, Visualisation"
novoSpaRc,Python,"10.1038/s41586-019-1773-3, 10.1038/s41596-021-00573-7",251,BSD-3-Clause,"Dimensionality Reduction, Expression Patterns, Visualisation"
scvis,Python,"10.1038/s41467-018-04368-5, 10.1101/178624",251,'-,"Dimensionality Reduction"
FateID,R,"10.1038/nmeth.4662, 10.1101/218115",248,GPL-3.0,"Classification, Differential Expression, Stem Cells, Visualisation"
SCNorm,R,"10.1038/nmeth.4263, 10.1101/090167",247,GPL-2.0-or-later,Normalisation
SPRING,Python/MATLAB/Javascript,"10.1093/bioinformatics/btx792, 10.1101/090332",244,'-,"Dimensionality Reduction, Interactive, Visualisation"
DrImpute,R,"10.1101/181479, 10.1186/s12859-018-2226-y",241,GPL-3.0,Imputation
cNMF,Python,"10.1101/310599, 10.7554/eLife.43803",239,MIT,"Clustering, Dimensionality Reduction"
scsim,Python,"10.1101/310599, 10.7554/eLife.43803",239,MIT,Simulation
SingleCellSignalR,R,"10.1093/nar/gkaa183, 10.1101/2019.12.11.872895",238,GPL-3.0,"Classification, Clustering, Gene Networks, Marker Genes, Normalisation, Visualisation"
PySCUBA,Python,10.1073/pnas.1408993111,237,MIT,"Clustering, Interactive, Ordering, Visualisation"
SCUBA,MATLAB,10.1073/pnas.1408993111,237,'-,"Expression Patterns, Ordering"
miloR,R,"10.1038/s41587-021-01033-z, 10.1101/2020.11.23.393769, 10.1101/2023.11.08.566176",235,GPL-3.0,"Marker Genes, Visualisation"
bigSCale2,R/C++,"10.1101/197244, 10.1101/446104, 10.1101/gr.230771.117, 10.1186/s13059-019-1713-4",234,GPL-2.0-or-later,"Classification, Clustering, Dimensionality Reduction, Gene Networks, Marker Genes, Normalisation, Ordering, Variable Genes, Visualisation"
cellassign,R,"10.1038/s41592-019-0529-1, 10.1101/521914",234,Apache-2.0,"Classification, Simulation"
CellTypist,Python,"10.1101/2023.05.01.538994, 10.1126/science.abl5197",234,MIT,"Classification, Integration, Visualisation"
muscat,R,"10.1038/s41467-020-19894-4, 10.1101/713412",232,GPL-2.0-or-later,"Differential Expression, Marker Genes, Simulation, Visualisation"
PBA,Python,"10.1073/pnas.1714723115, 10.1101/170118",231,'-,Ordering
GPfates,Python,"10.1101/074971, 10.1126/sciimmunol.aal2192",229,MIT,"Ordering, Visualisation"
souporcell,Python/Rust,"10.1038/s41592-020-0820-1, 10.1101/699637",228,MIT,"Clustering, Quality Control, Variants"
trendsceek,R,10.1038/nmeth.4634,228,GPL-3.0,"Expression Patterns, Simulation, Visualisation"
Conos,R/C++,"10.1038/s41592-019-0466-z, 10.1101/460246",226,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Integration, Marker Genes, Visualisation"
SingleCellNet,R,"10.1016/j.cels.2019.06.004, 10.1101/508085",222,MIT,"Classification, Visualisation"
GiniClust,R/Python,10.1186/s13059-016-1010-4,221,MIT,"Clustering, Dimensionality Reduction, Interactive, Normalisation, Rare Cells"
SCODE,R,"10.1093/bioinformatics/btx194, 10.1101/088856",221,MIT,"Gene Networks, Ordering"
metacells,Python/C++,"10.1101/2021.08.08.453314, 10.1101/2022.12.01.518678, 10.1101/437665, 10.1186/s13059-019-1812-2, 10.1186/s13059-022-02667-1, 10.1186/s13059-023-03069-7",217,MIT,Clustering
MetaNeighbor,R,"10.1038/s41467-018-03282-0, 10.1038/s41596-021-00575-5, 10.1101/150524",215,MIT,"Classification, Clustering, Gene Sets, Variable Genes, Visualisation"
SAUCIE,Python,"10.1038/s41592-019-0576-7, 10.1101/237065",214,MIT,"Clustering, Dimensionality Reduction, Imputation, Integration, Normalisation, Visualisation"
pcaReduce,R,"10.1101/026385, 10.1186/s12859-016-0984-y",213,GPL-2.0-or-later,Clustering
scDD,R,"10.1101/035501, 10.1186/s13059-016-1077-y",212,GPL-2.0,"Differential Expression, Simulation"
SCENT,R,"10.1038/ncomms15599, 10.1093/bioinformatics/btaa987, 10.1101/084202",210,GPL-3.0,"Ordering, Stem Cells"
UCell,R,"10.1016/j.csbj.2021.06.043, 10.1101/2021.04.13.439670",202,GPL-3.0,"Gene Sets"
MetaCell,R,"10.1101/437665, 10.1186/s13059-019-1812-2",199,MIT,"Clustering, Marker Genes, Quality Control, Variable Genes, Visualisation"
decontX,R/C++,"10.1093/nar/gkad1032, 10.1101/2023.01.27.525964, 10.1101/704015, 10.1186/s13059-020-1950-6",198,MIT,"Quantification, Simulation, Visualisation"
scTDA,Python,10.1038/nbt.3854,197,GPL-3.0,"Ordering, Quality Control, Visualisation"
ProjecTILs,R,"10.1038/s41467-021-23324-4, 10.1101/2020.06.23.166546",196,GPL-3.0,"Classification, Dimensionality Reduction, Immune, Visualisation"
IronThrone-GoT,Perl,"10.1038/s41586-019-1367-0, 10.1101/444687",192,'-,"UMIs, Variants"
M3Drop,R,"10.1093/bioinformatics/bty1044, 10.1101/065094",187,GPL-2.0-or-later,"Differential Expression, Marker Genes, Simulation, Visualisation"
scMerge,R,"10.1038/s41467-023-39923-2, 10.1073/pnas.1820006116, 10.1093/gigascience/giz106, 10.1101/2022.12.08.519588, 10.1101/229815, 10.1101/393280",185,GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Normalisation, Variable Genes"
dropbead,R,"10.1101/099473, 10.1186/s12915-017-0383-5",184,GPL-3.0,"Quality Control, Visualisation"
CellBender,Python,"10.1038/s41592-023-01943-7, 10.1101/791699",182,BSD-3-Clause,"Quality Control, Visualisation"
DEsingle,R,"10.1093/bioinformatics/bty332, 10.1101/173997",180,GPL-2.0,"Differential Expression"
jackstraw,R,"10.1093/bioinformatics/btaa087, 10.1093/bioinformatics/btu674, 10.1101/248633",174,GPL-2.0,"Clustering, Dimensionality Reduction, Gene Filtering, Marker Genes, Variable Genes"
STREAM,Python/Docker,"10.1038/s41467-019-09670-4, 10.1101/302554",173,AGPL-3.0,"Expression Patterns, Interactive, Normalisation, Ordering, Visualisation"
Bisque,R,"10.1038/s41467-020-15816-6, 10.1101/669911",171,GPL-3.0,"Integration, Marker Genes, Simulation"
scDeepCluster,Python,10.1038/s42256-019-0037-0,170,Apache-2.0,"Clustering, Dimensionality Reduction"
SpaOTsc,Python,10.1038/s41467-020-15968-5,170,MIT,"Clustering, Gene Networks, Integration, Visualisation"
VISION,R,"10.1016/j.crmeth.2022.100200, 10.1038/s41467-019-12235-0, 10.1101/2021.09.13.460142, 10.1101/403055",170,MIT,"Classification, Dimensionality Reduction, Gene Sets, Interactive, Visualisation"
Dynamo,Python,"10.1016/j.cell.2021.12.045, 10.1101/696724",168,BSD-3-Clause,"Ordering, Simulation, Visualisation"
CellOracle,python,"10.1016/j.stemcr.2022.11.010, 10.1038/s41586-022-05688-9, 10.1101/2020.02.17.947416",167,Apache-2.0,"Gene Networks, Gene Sets, Integration, Perturbations, Simulation"
DeepImpute,Python,"10.1101/353607, 10.1186/s13059-019-1837-6",167,MIT,Imputation
VASC,Python,"10.1016/j.gpb.2018.08.003, 10.1101/199315",167,'-,"Dimensionality Reduction, Visualisation"
zingeR,R,"10.1101/157982, 10.1186/s13059-018-1406-4",167,'-,"Differential Expression, Simulation"
scCATCH,R,10.1016/j.isci.2020.100882,164,GPL-3.0,"Classification, Marker Genes"
DESC,Python,"10.1038/s41467-020-15851-3, 10.1101/530378",163,'-,"Clustering, Gene Filtering, Integration, Normalisation, Quality Control, Variable Genes, Visualisation"
HoneyBADGER,R,10.1101/gr.228080.117,161,GPL-3.0,"Variants, Visualisation"
CHETAH,R,"10.1093/nar/gkz543, 10.1101/558908",159,AGPL-3.0,"Classification, Interactive, Normalisation, Visualisation"
cluster_diffex,Python,"10.1101/250704, 10.1186/s13073-018-0567-9",158,MIT,"Clustering, Differential Expression, Dimensionality Reduction, Marker Genes, Visualisation"
ALRA,R,"10.1038/s41467-021-27729-z, 10.1101/397588",157,MIT,Imputation
scVAE,Python,"10.1093/bioinformatics/btaa293, 10.1101/318295",155,Apache-2.0,Clustering
scDblFinder,R,10.12688/f1000research.73600.1,154,GPL-3.0,"Clustering, Quality Control"
Oscope,R,10.1038/nmeth.3549,153,Artistic-2.0,"Cell Cycle"
DoubletDecon,R,"10.1016/j.celrep.2019.09.082, 10.1016/j.xpro.2020.100085, 10.1101/2020.04.23.058156, 10.1101/364810",152,MIT,"Cell Cycle, Quality Control"
pCreode,Python,10.1016/j.cels.2017.10.012,152,GPL-2.0,"Dimensionality Reduction, Ordering, Visualisation"
iTALK,R,10.1101/507871,151,CC-BY-NC-ND-4.0,"Differential Expression, Gene Networks, Immune, Visualisation"
dropEst,C++/R,"10.1101/171496, 10.1186/s13059-018-1449-6",146,GPL-3.0,"Quality Control, Quantification, UMIs, Visualisation"
SLICER,R,"10.1101/047845, 10.1186/s13059-016-0975-3",146,GPL-2.0,Ordering
anchor,Python,10.1016/j.molcel.2017.06.003,145,BSD-3-Clause,Modality
bonvoyage,Python,10.1016/j.molcel.2017.06.003,145,BSD-3-Clause,Transformation
Outrigger,Python,10.1016/j.molcel.2017.06.003,145,BSD-3-Clause,"Alternative Splicing"
cb_sniffer,Python,"10.1038/s41467-019-11591-1, 10.1101/434746",142,GPL-3.0,Variants
LIANA,R/Python,"10.1038/s41467-022-30755-0, 10.1101/2021.05.21.445160",142,GPL-3.0,"Gene Networks"
SCINA,R,"10.1101/559872, 10.3390/genes10070531",142,GPL-2.0,"Classification, Gene Sets, Visualisation"
GLUE,Python,"10.1038/s41587-022-01284-4, 10.1101/2021.08.22.457275",141,MIT,"Gene Networks, Integration"
Vireo,Python,"10.1101/598748, 10.1186/s13059-019-1865-2",141,Apache-2.0,Variants
ScType,R,"10.1038/s41467-022-28803-w, 10.1101/812131",140,GPL-3.0,Classification
SAVER-X,R,"10.1038/s41592-019-0537-1, 10.1101/457879, 10.1145/3311790.3399617",138,GPL-2.0-or-later,"Dimensionality Reduction, Imputation"
scScope,Python,"10.1038/s41592-019-0353-7, 10.1101/315556",137,'-,"Clustering, Imputation, Normalisation"
GSEApy,Python/Rust,10.1093/bioinformatics/btac757,136,BSD-3-Clause,"Gene Sets, Visualisation"
SINCERITIES,MATLAB/R,"10.1093/bioinformatics/btx575, 10.1101/089110",136,BSD-3-Clause,"Gene Networks"
CNNC,Python,"10.1073/pnas.1911536116, 10.1101/365007",133,MIT,"Gene Networks, Gene Sets"
Pegasus,Python,"10.1038/s41592-020-0905-x, 10.1101/823682",133,BSD-3-Clause,"Clustering, Differential Expression, Dimensionality Reduction, Integration, Normalisation, Ordering, Quality Control, Variable Genes, Visualisation"
scPlot,Python,"10.1038/s41592-020-0905-x, 10.1101/823682",133,BSD-3-Clause,"Interactive, Visualisation"
powsimR,R,"10.1093/bioinformatics/btx435, 10.1101/117150",132,Artistic-2.0,"Simulation, Visualisation"
BPSC,R,10.1093/bioinformatics/btw202,130,GPL-3.0,"Differential Expression"
MATCHER,Python,"10.1101/130336, 10.1186/s13059-017-1269-0",129,MIT,"Expression Patterns, Integration, Ordering, Visualisation"
Nebulosa,R,"10.1093/bioinformatics/btab003, 10.1101/2020.09.29.315879",129,GPL-3.0,Visualisation
ACTINN,Python,"10.1093/bioinformatics/btz592, 10.1101/532093",128,GPL-3.0,Classification
scds,R,"10.1093/bioinformatics/btz698, 10.1101/564021",128,MIT,"Quality Control"
NATMI,Python,10.1038/s41467-020-18873-z,123,MIT,"Gene Networks, Visualisation"
AutoImpute,Python/R,10.1038/s41598-018-34688-x,121,MIT,"Imputation, Normalisation, Variable Genes"
countClust,R,"10.1101/051631, 10.1371/journal.pgen.1006599",121,GPL-2.0-or-later,"Clustering, Differential Expression, Dimensionality Reduction, Variable Genes, Visualisation"
scone,R,"10.1016/j.cels.2019.03.010, 10.1101/235382",121,Artistic-2.0,"Gene Filtering, Imputation, Interactive, Normalisation, Quality Control, Visualisation"
scdney,R,"10.1093/bib/bby076, 10.1186/s12859-019-3211-9",119,MIT,"Classification, Clustering, Visualisation"
ASAP,R/Python,"10.1093/bioinformatics/btx337, 10.1093/nar/gkaa412, 10.1101/096222",118,GPL-3.0,"Clustering, Differential Expression, Gene Filtering, Interactive, Normalisation, Visualisation"
MAESTRO,Python/R/C++,10.1186/s13059-020-02116-x,117,GPL-3.0,"Alignment, Classification, Clustering, Dimensionality Reduction, Gene Filtering, Gene Sets, Integration, Quality Control, Quantification, UMIs, Visualisation"
SAMap,Python,"10.1101/2020.09.28.317784, 10.7554/eLife.66747",117,MIT,Integration
